,price
2011-09-16,4645000
2011-09-17,4705000
2011-09-18,4705000
2011-09-19,4675000
2011-09-20,4680000
2011-09-21,4702000
2011-09-22,4665000
2011-09-23,4645000
2011-09-24,4535000
2011-09-25,4535000
2011-09-26,4480000
2011-09-27,4525000
2011-09-28,4430000
2011-09-29,4390000
2011-09-30,4400000
2011-10-01,4405000
2011-10-02,4405000
2011-10-03,4438000
2011-10-04,4500000
2011-10-05,4415000
2011-10-06,4365000
2011-10-07,4305000
2011-10-08,4300000
2011-10-09,4300000
2011-10-10,4289000
2011-10-11,4340000
2011-10-12,4380000
2011-10-13,4385000
2011-10-14,4395000
2011-10-15,4405000
2011-10-16,4405000
2011-10-17,4420000
2011-10-18,4370000
2011-10-19,4330000
2011-10-20,4280000
2011-10-21,4320000
2011-10-22,4380000
2011-10-23,4380000
2011-10-24,4380000
2011-10-25,4380000
2011-10-26,4460000
2011-10-27,4465000
2011-10-28,4495000
2011-10-29,4500000
2011-10-30,4500000
2011-10-31,4455000
2011-11-01,4465000
2011-11-02,4500000
2011-11-03,4495000
2011-11-04,4540000
2011-11-05,4530000
2011-11-06,4530000
2011-11-07,4560000
2011-11-08,4635000
2011-11-09,4635000
2011-11-10,4610000
2011-11-11,4595000
2011-11-12,4625000
2011-11-13,4625000
2011-11-14,4640000
2011-11-15,4610000
2011-11-16,4615000
2011-11-17,4608000
2011-11-18,4575000
2011-11-19,4575000
2011-11-20,4575000
2011-11-21,4555000
2011-11-22,4415000
2011-11-23,4445000
2011-11-24,4425000
2011-11-25,4425000
2011-11-26,4440000
2011-11-27,4440000
2011-11-28,4487000
2011-11-29,4470000
2011-11-30,4455000
2011-12-01,4515000
2011-12-02,4508000
2011-12-03,4507000
2011-12-04,4507000
2011-12-05,4519000
2011-12-06,4450000
2011-12-07,4476000
2011-12-08,4489000
2011-12-09,4457000
2011-12-10,4465000
2011-12-11,4465000
2011-12-12,4435000
2011-12-13,4390000
2011-12-14,4379000
2011-12-15,4300000
2011-12-16,4335000
2011-12-17,4360000
2011-12-18,4360000
2011-12-19,4335000
2011-12-20,4310000
2011-12-21,4315000
2011-12-22,4305000
2011-12-23,4315000
2011-12-24,4315000
2011-12-25,4315000
2011-12-26,4310000
2011-12-27,4290000
2011-12-28,4235000
2011-12-29,4162000
2011-12-30,4080000
2011-12-31,4080000
2012-01-01,4080000
2012-01-02,4080000
2012-01-03,4320000
2012-01-04,4330000
2012-01-05,4330000
2012-01-06,4320000
2012-01-07,4320000
2012-01-08,4320000
2012-01-09,4305000
2012-01-10,4300000
2012-01-11,4330000
2012-01-12,4355000
2012-01-13,4345000
2012-01-14,4340000
2012-01-15,4340000
2012-01-16,4320000
2012-01-17,4365000
2012-01-18,4355000
2012-01-19,4380000
2012-01-20,4425000
2012-01-21,4460000
2012-01-22,4460000
2012-01-23,4460000
2012-01-24,4460000
2012-01-25,4460000
2012-01-26,4460000
2012-01-27,4460000
2012-01-28,4460000
2012-01-29,4460000
2012-01-30,4470000
2012-01-31,4503000
2012-02-01,4510000
2012-02-02,4513000
2012-02-03,4510000
2012-02-04,4465000
2012-02-05,4465000
2012-02-06,4455000
2012-02-07,4470000
2012-02-08,4485000
2012-02-09,4458000
2012-02-10,4445000
2012-02-11,4453000
2012-02-12,4453000
2012-02-13,4462000
2012-02-14,4450000
2012-02-15,4460000
2012-02-16,4448000
2012-02-17,4455000
2012-02-18,4450000
2012-02-19,4450000
2012-02-20,4455000
2012-02-21,4460000
2012-02-22,4470000
2012-02-23,4500000
2012-02-24,4509000
2012-02-25,4509000
2012-02-26,4506000
2012-02-27,4493000
2012-02-28,4490000
2012-02-29,4512000
2012-03-01,4464000
2012-03-02,4460000
2012-03-03,4460000
2012-03-04,4450000
2012-03-05,4472000
2012-03-06,4445000
2012-03-07,4418000
2012-03-08,4458000
2012-03-09,4449000
2012-03-10,4449000
2012-03-11,4465000
2012-03-12,4456000
2012-03-13,4461000
2012-03-14,4438000
2012-03-15,4393000
2012-03-16,4402000
2012-03-17,4407000
2012-03-18,4407000
2012-03-19,4389000
2012-03-20,4350000
2012-03-21,4360000
2012-03-22,4355000
2012-03-23,4368000
2012-03-24,4380000
2012-03-25,4380000
2012-03-26,4385000
2012-03-27,4423000
2012-03-28,4407000
2012-03-29,4378000
2012-03-30,4392000
2012-03-31,4392000
2012-04-01,4392000
2012-04-02,4392000
2012-04-03,4376000
2012-04-04,4345000
2012-04-05,4353000
2012-04-06,4334000
2012-04-07,4332000
2012-04-08,4332000
2012-04-09,4330000
2012-04-10,4320000
2012-04-11,4321000
2012-04-12,4314000
2012-04-13,4318000
2012-04-14,4323000
2012-04-15,4323000
2012-04-16,4280000
2012-04-17,4270000
2012-04-18,4261000
2012-04-19,4240000
2012-04-20,4238000
2012-04-21,4246000
2012-04-22,4246000
2012-04-23,4282000
2012-04-24,4259000
2012-04-25,4276000
2012-04-26,4277000
2012-04-27,4279000
2012-04-28,4280000
2012-04-29,4280000
2012-04-30,4280000
2012-05-01,4280000
2012-05-02,4268000
2012-05-03,4240000
2012-05-04,4220000
2012-05-05,4238000
2012-05-06,4238000
2012-05-07,4239000
2012-05-08,4157000
2012-05-09,4132000
2012-05-10,4162000
2012-05-11,4162000
2012-05-12,4159000
2012-05-13,4159000
2012-05-14,4146000
2012-05-15,4115000
2012-05-16,4078000
2012-05-17,4095000
2012-05-18,4175000
2012-05-19,4190000
2012-05-20,4190000
2012-05-21,4200000
2012-05-22,4155000
2012-05-23,4116000
2012-05-24,4116000
2012-05-25,4125000
2012-05-26,4145000
2012-05-27,4145000
2012-05-28,4140000
2012-05-29,4135000
2012-05-30,4108000
2012-05-31,4126000
2012-06-01,4113000
2012-06-02,4180000
2012-06-03,4180000
2012-06-04,4204000
2012-06-05,4208000
2012-06-06,4200100
2012-06-07,4232000
2012-06-08,4180000
2012-06-09,4191000
2012-06-10,4191000
2012-06-11,4188000
2012-06-12,4186000
2012-06-13,4207000
2012-06-14,4215000
2012-06-15,4218000
2012-06-16,4181000
2012-06-17,4181000
2012-06-18,4218000
2012-06-19,4225000
2012-06-20,4214000
2012-06-21,4193000
2012-06-22,4174000
2012-06-23,4176000
2012-06-24,4176000
2012-06-25,4169000
2012-06-26,4177000
2012-06-27,4161000
2012-06-28,4163000
2012-06-29,4167000
2012-06-30,4186000
2012-07-01,4186000
2012-07-02,4189000
2012-07-03,4199000
2012-07-04,4206000
2012-07-05,4202000
2012-07-06,4182000
2012-07-07,4175000
2012-07-08,4175000
2012-07-09,4174000
2012-07-10,4184000
2012-07-11,4169000
2012-07-12,4156000
2012-07-13,4174000
2012-07-14,4154000
2012-07-15,4154000
2012-07-16,4172000
2012-07-17,4183000
2012-07-18,4171000
2012-07-19,4178000
2012-07-20,4172000
2012-07-21,4174000
2012-07-22,4174000
2012-07-23,4163000
2012-07-24,4165000
2012-07-25,4166000
2012-07-26,4193000
2012-07-27,4206000
2012-07-28,4206000
2012-07-29,4206000
2012-07-30,4201000
2012-07-31,4205000
2012-08-01,4193000
2012-08-02,4193000
2012-08-03,4193000
2012-08-04,4198000
2012-08-05,4198000
2012-08-06,4209000
2012-08-07,4225000
2012-08-08,4218000
2012-08-09,4223000
2012-08-10,4223000
2012-08-11,4229000
2012-08-12,4229000
2012-08-13,4248000
2012-08-14,4246000
2012-08-15,4224000
2012-08-16,4233000
2012-08-17,4250000
2012-08-18,4247000
2012-08-19,4247000
2012-08-20,4251000
2012-08-21,4290000
2012-08-22,4363000
2012-08-23,4405000
2012-08-24,4405000
2012-08-25,4417000
2012-08-26,4417000
2012-08-27,4440000
2012-08-28,4440000
2012-08-29,4445000
2012-08-30,4438000
2012-08-31,4440000
2012-09-01,4500000
2012-09-02,4500000
2012-09-03,4500000
2012-09-04,4504000
2012-09-05,4518000
2012-09-06,4593000
2012-09-07,4540000
2012-09-08,4605000
2012-09-09,4605000
2012-09-10,4610000
2012-09-11,4611000
2012-09-12,4647000
2012-09-13,4632000
2012-09-14,4714000
2012-09-15,4680000
2012-09-16,4680000
2012-09-17,4670000
2012-09-18,4653000
2012-09-19,4710000
2012-09-20,4680000
2012-09-21,4698000
2012-09-22,4697000
2012-09-23,4697000
2012-09-24,4682000
2012-09-25,4697000
2012-09-26,4707000
2012-09-27,4701000
2012-09-28,4736000
2012-09-29,4725000
2012-09-30,4725000
2012-10-01,4738000
2012-10-02,4770000
2012-10-03,4770000
2012-10-04,4800000
2012-10-05,4805000
2012-10-06,4780000
2012-10-07,4780000
2012-10-08,4773000
2012-10-09,4770000
2012-10-10,4750000
2012-10-11,4763000
2012-10-12,4765000
2012-10-13,4737000
2012-10-14,4737000
2012-10-15,4709000
2012-10-16,4665000
2012-10-17,4696000
2012-10-18,4693000
2012-10-19,4679000
2012-10-20,4655000
2012-10-21,4655000
2012-10-22,4620000
2012-10-23,4622000
2012-10-24,4616000
2012-10-25,4630000
2012-10-26,4620000
2012-10-27,4625000
2012-10-28,4625000
2012-10-29,4620000
2012-10-30,4609000
2012-10-31,4598000
2012-11-01,4630000
2012-11-02,4628000
2012-11-03,4580000
2012-11-04,4580000
2012-11-05,4582000
2012-11-06,4610000
2012-11-07,4690000
2012-11-08,4673000
2012-11-09,4694000
2012-11-10,4688000
2012-11-11,4688000
2012-11-12,4690000
2012-11-13,4680000
2012-11-14,4691000
2012-11-15,4696000
2012-11-16,4682000
2012-11-17,4685000
2012-11-18,4685000
2012-11-19,4698000
2012-11-20,4719000
2012-11-21,4705000
2012-11-22,4705000
2012-11-23,4700000
2012-11-24,4727000
2012-11-25,4727000
2012-11-26,4723000
2012-11-27,4722000
2012-11-28,4715000
2012-11-29,4705000
2012-11-30,4702000
2012-12-01,4684000
2012-12-02,4684000
2012-12-03,4686000
2012-12-04,4676000
2012-12-05,4678000
2012-12-06,4665000
2012-12-07,4678000
2012-12-08,4681000
2012-12-09,4681000
2012-12-10,4688000
2012-12-11,4687000
2012-12-12,4687000
2012-12-13,4669000
2012-12-14,4668000
2012-12-15,4669000
2012-12-16,4669000
2012-12-17,4662000
